"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460665.79,5262496.3,0,31699,1,1,2,29812,26985,28270,0
460666,5262496.08,0,32010,1,1,2,23901,22359,25700,0
460666.13,5262496.5,0.24,32128,1,1,0,19789,19018,23644,0
460666.23,5262496.08,0.05,32298,1,1,0,15420,15163,19789,0
460666.36,5262496.47,0.26,32007,1,1,0,14135,14649,19275,0
460666.48,5262496.84,0.17,31990,1,1,0,20560,19275,22873,0
460666.54,5262496.29,0.09,31925,1,1,0,14135,13878,19789,0
460666.66,5262496.67,0.26,31905,1,1,0,22873,21074,22873,0
460666.79,5262497.07,0.48,31899,1,1,0,20817,18504,22102,0
460666.9,5262497.42,0.29,32298,1,1,0,15677,14906,17990,0
460666.87,5262496.38,0.02,31879,1,1,0,22359,19789,22616,0
460666.98,5262496.74,0.12,31781,1,1,0,26471,24158,24672,0
460667.12,5262497.19,0.48,31692,1,1,0,24415,22873,24158,0
460667.18,5262497.37,0,31892,1,1,2,16191,16705,20046,0
460667.06,5262496.29,0,31581,1,1,2,31611,28527,28784,0
460667.17,5262496.63,0,31453,1,1,2,31868,29298,28527,0
460667.31,5262497.07,0.46,31774,1,1,0,24672,22873,23387,0
460667.38,5262497.27,0,31745,1,1,2,23387,23387,24929,0
460667.24,5262496.15,0,31394,2,2,2,44461,41120,39835,0
460667.37,5262496.57,0.08,31296,1,1,0,32896,30840,29298,0
460667.47,5262496.85,0,31666,1,1,2,21331,19532,19532,0
460667.58,5262497.21,0,31879,1,1,2,23901,23387,23387,0
460667.49,5262496.09,0,29068,2,2,2,29555,27242,26214,0
460667.6,5262496.44,0,30604,2,2,2,23387,22102,21074,0
460667.75,5262496.93,0,31368,1,1,2,32125,30840,30069,0
460667.79,5262495.91,0,31774,1,1,2,36237,34181,33410,0
460667.92,5262496.33,0,30585,2,2,2,24158,23387,23644,0
460668.07,5262495.84,0,30749,2,2,2,32382,30583,27756,0
460668.21,5262496.26,0,30090,2,2,2,27499,26728,26214,0
460668.41,5262495.94,0,28379,2,2,2,26471,25186,24929,0
460668.7,5262495.86,0,29811,2,2,2,19275,17219,17733,0
